roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
bare silicon all_p09_r0001,4,12,28,36,0.859375,2.144870263086124e-05,0.0365285280845695
bare silicon all_p09_r0002,4,12,32,40,0.984375,3.437583897125439e-05,0.036540293235199736
bare silicon all_p09_r0003,8,16,24,32,0.96875,7.690033131372341e-06,0.03608623801315461
bare silicon all_p09_r0004,8,16,28,36,1.0,6.482461300334515e-06,0.034584141555028945
bare silicon all_p09_r0005,8,16,32,40,1.0,6.715565897628115e-06,0.034402879181540266
bare silicon all_p09_r0006,12,20,16,24,0.96875,8.053746228167928e-06,0.035736993764035205
bare silicon all_p09_r0007,12,20,20,28,1.0,3.799288477965625e-06,0.03512073678734785
bare silicon all_p09_r0008,12,20,24,32,1.0,3.325018499483396e-06,0.03456480876756143
bare silicon all_p09_r0009,12,20,28,36,1.0,4.122757875901362e-06,0.03358554101438737
bare silicon all_p09_r0010,12,20,32,40,1.0,5.449149393579595e-06,0.033511366486927444
bare silicon all_p09_r0011,12,20,36,44,0.859375,0.00014567541422361854,0.03799723080191211
bare silicon all_p09_r0012,16,24,8,16,0.96875,7.531990709975303e-06,0.03544938619608743
bare silicon all_p09_r0013,16,24,12,20,1.0,2.5813031951754e-06,0.03462381024920068
bare silicon all_p09_r0014,16,24,16,24,1.0,2.422736695583331e-06,0.0342821578541842
bare silicon all_p09_r0015,16,24,20,28,1.0,2.3348687778467073e-06,0.0340812215645956
bare silicon all_p09_r0016,16,24,24,32,1.0,2.2462555414852164e-06,0.03375558620335015
bare silicon all_p09_r0017,16,24,28,36,1.0,3.033204338266005e-06,0.032927601448781964
bare silicon all_p09_r0018,16,24,32,40,1.0,3.6642606667301585e-06,0.03230499836084533
bare silicon all_p09_r0019,16,24,36,44,0.984375,0.00010798649086434161,0.03595279466606772
bare silicon all_p09_r0020,20,28,4,12,1.0,5.002905478453466e-05,0.03709789893801175
bare silicon all_p09_r0021,20,28,8,16,1.0,2.181930936308976e-06,0.03480864025736821
bare silicon all_p09_r0022,20,28,12,20,1.0,2.031875315368512e-06,0.034408484470036985
bare silicon all_p09_r0023,20,28,16,24,1.0,2.0483116157998878e-06,0.03404237518505778
bare silicon all_p09_r0024,20,28,20,28,1.0,1.8696097574945516e-06,0.0337624627927361
bare silicon all_p09_r0025,20,28,24,32,1.0,1.7847606764875838e-06,0.03353170004559821
bare silicon all_p09_r0026,20,28,28,36,1.0,2.7673994552680603e-06,0.033032478887701736
bare silicon all_p09_r0027,20,28,32,40,1.0,3.89501204227449e-06,0.03205414349278642
bare silicon all_p09_r0028,20,28,36,44,1.0,3.096371096331363e-05,0.0336282454552349
bare silicon all_p09_r0029,24,32,4,12,0.890625,0.00013282047817728655,0.040358895343944025
bare silicon all_p09_r0030,24,32,8,16,1.0,6.068537570887828e-06,0.03544334246025393
bare silicon all_p09_r0031,24,32,12,20,1.0,2.189179808966267e-06,0.03472339028358944
bare silicon all_p09_r0032,24,32,16,24,1.0,2.158512475643246e-06,0.03429877285567124
bare silicon all_p09_r0033,24,32,20,28,1.0,2.0235790867781774e-06,0.033933452771296876
bare silicon all_p09_r0034,24,32,24,32,1.0,1.8684581800250725e-06,0.03371408809070784
bare silicon all_p09_r0035,24,32,28,36,1.0,3.7754945016954106e-06,0.033829879480565456
bare silicon all_p09_r0036,24,32,32,40,1.0,1.1693110104792232e-05,0.03399668554872868
bare silicon all_p09_r0037,24,32,36,44,1.0,1.5819741584623288e-05,0.034568417975985484
bare silicon all_p09_r0038,28,36,8,16,0.984375,0.00010592892773734579,0.038786590391761105
bare silicon all_p09_r0039,28,36,12,20,1.0,2.8635665773628018e-06,0.03513612187582433
bare silicon all_p09_r0040,28,36,16,24,1.0,2.3214821676512387e-06,0.03459805395770167
bare silicon all_p09_r0041,28,36,20,28,1.0,2.1712850514379677e-06,0.034167672186628015
bare silicon all_p09_r0042,28,36,24,32,1.0,2.1578233415139925e-06,0.033903628364046416
bare silicon all_p09_r0043,28,36,28,36,1.0,3.354911382164226e-06,0.03406500578644218
bare silicon all_p09_r0044,28,36,32,40,1.0,9.96441459633127e-06,0.03458452705870797
bare silicon all_p09_r0045,28,36,36,44,1.0,1.1945202500176682e-05,0.0351907034625677
bare silicon all_p09_r0046,32,40,12,20,1.0,2.92761770779352e-05,0.03681779783066215
bare silicon all_p09_r0047,32,40,16,24,1.0,2.302312978716223e-06,0.035018972125606174
bare silicon all_p09_r0048,32,40,20,28,1.0,2.1037160706821088e-06,0.034524843265054755
bare silicon all_p09_r0049,32,40,24,32,1.0,2.2075906081006983e-06,0.03417244126553905
bare silicon all_p09_r0050,32,40,28,36,1.0,2.225224628314528e-06,0.03383927313218422
bare silicon all_p09_r0051,32,40,32,40,1.0,4.293253977430842e-06,0.03313644175751713
bare silicon all_p09_r0052,32,40,36,44,1.0,7.341964643595504e-06,0.033656789678140946
bare silicon all_p09_r0053,32,40,40,48,0.875,0.0002935010280872568,0.04222932118463975
bare silicon all_p09_r0054,36,44,12,20,0.921875,0.00015490209051458197,0.04083707686796797
bare silicon all_p09_r0055,36,44,16,24,1.0,4.539281630671372e-06,0.03582990425859304
bare silicon all_p09_r0056,36,44,20,28,1.0,2.37371456946762e-06,0.03500545020788496
bare silicon all_p09_r0057,36,44,24,32,1.0,2.1220776637567002e-06,0.03453512375795468
bare silicon all_p09_r0058,36,44,28,36,1.0,2.0661761054316444e-06,0.03413135684821402
bare silicon all_p09_r0059,36,44,32,40,1.0,3.901683024071406e-06,0.03316455279916967
bare silicon all_p09_r0060,36,44,36,44,1.0,5.323438311068375e-06,0.03317795570330709
bare silicon all_p09_r0061,36,44,40,48,0.890625,0.0002696141695502597,0.04124757123818556
bare silicon all_p09_r0062,40,48,16,24,1.0,0.00010270730251491835,0.03864564571892213
bare silicon all_p09_r0063,40,48,20,28,1.0,2.5919526985921964e-06,0.03559770133549458
bare silicon all_p09_r0064,40,48,24,32,1.0,3.4460927569939003e-06,0.03543444519564201
bare silicon all_p09_r0065,40,48,28,36,1.0,3.7498866780407406e-06,0.03503834959474499
bare silicon all_p09_r0066,40,48,32,40,1.0,4.401439549865987e-06,0.033604521700787836
bare silicon all_p09_r0067,40,48,36,44,1.0,5.259323052899145e-06,0.033287526000802786
bare silicon all_p09_r0068,40,48,40,48,0.953125,0.0003820682323357108,0.04279131460624419
bare silicon all_p09_r0069,44,52,16,24,0.875,0.00021683374547566881,0.04245014670309098
bare silicon all_p09_r0070,44,52,20,28,1.0,9.195653479891502e-06,0.03675587055807739
bare silicon all_p09_r0071,44,52,24,32,1.0,3.3802254080205335e-06,0.03611018460351263
bare silicon all_p09_r0072,44,52,28,36,1.0,3.8052667792056665e-06,0.035429998638662676
bare silicon all_p09_r0073,44,52,32,40,1.0,4.707086074317045e-06,0.033804168491820503
bare silicon all_p09_r0074,44,52,36,44,1.0,4.566255439836031e-06,0.03325405894914459
bare silicon all_p09_r0075,44,52,40,48,1.0,0.0004226365938097808,0.04314095438908011
bare silicon all_p09_r0076,48,56,20,28,0.96875,0.00012777085193242297,0.04026268266181059
bare silicon all_p09_r0077,48,56,24,32,1.0,3.3182727391834927e-06,0.03633562523568606
bare silicon all_p09_r0078,48,56,28,36,1.0,2.8655215776177815e-06,0.03534569902750555
bare silicon all_p09_r0079,48,56,32,40,1.0,4.3922364037293835e-06,0.03416736089481073
bare silicon all_p09_r0080,48,56,36,44,1.0,4.3820010667828024e-06,0.03366937332285796
bare silicon all_p09_r0081,48,56,40,48,1.0,0.00037568113194143634,0.0427834643072505
bare silicon all_p09_r0082,52,60,24,32,1.0,3.00262261329771e-05,0.037892832896199005
bare silicon all_p09_r0083,52,60,28,36,1.0,2.984135627144803e-06,0.0360155982805424
bare silicon all_p09_r0084,52,60,32,40,1.0,4.412448857563455e-06,0.034781419294016465
bare silicon all_p09_r0085,52,60,36,44,1.0,4.646249089306971e-06,0.03420742733760389
