roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p07_r0001,4,12,4,12,0.953125,1.950329104236626e-05,0.01901277239660684
sio2 all 20 dish white_p07_r0002,4,12,8,16,1.0,7.000245325250691e-06,0.017007174937662493
sio2 all 20 dish white_p07_r0003,4,12,12,20,0.921875,3.5177080697654456e-06,0.015823603632086437
sio2 all 20 dish white_p07_r0004,4,12,16,24,0.90625,1.6025508493702165e-06,0.01518435899151082
sio2 all 20 dish white_p07_r0005,4,12,20,28,0.953125,1.5756073946277308e-06,0.01548088018928092
sio2 all 20 dish white_p07_r0006,4,12,24,32,0.953125,1.316198781519348e-06,0.015767588234111368
sio2 all 20 dish white_p07_r0007,4,12,28,36,0.984375,1.264164425726342e-06,0.015828369928974483
sio2 all 20 dish white_p07_r0008,4,12,32,40,1.0,1.320003030728003e-06,0.01586085498224744
sio2 all 20 dish white_p07_r0009,4,12,36,44,1.0,1.1988540844609432e-06,0.01584827766300857
sio2 all 20 dish white_p07_r0010,4,12,40,48,0.90625,1.083043153684878e-06,0.015840604839572642
sio2 all 20 dish white_p07_r0011,4,12,84,92,0.890625,2.7413020190804467e-06,0.02088618591219341
sio2 all 20 dish white_p07_r0012,4,12,88,96,0.9375,2.4467391650202592e-06,0.020091688443980734
sio2 all 20 dish white_p07_r0013,8,16,4,12,0.96875,1.690992281295911e-05,0.019675262427879613
sio2 all 20 dish white_p07_r0014,8,16,8,16,1.0,7.531887872991737e-06,0.017996935745170816
sio2 all 20 dish white_p07_r0015,8,16,12,20,1.0,5.182829246951648e-06,0.01658446044871779
sio2 all 20 dish white_p07_r0016,8,16,16,24,1.0,3.414881104985046e-06,0.0160493852683392
sio2 all 20 dish white_p07_r0017,8,16,20,28,1.0,7.030628723497398e-06,0.01710271314564333
sio2 all 20 dish white_p07_r0018,8,16,24,32,1.0,7.095789876705017e-06,0.0175357272573544
sio2 all 20 dish white_p07_r0019,8,16,28,36,1.0,4.107797514429358e-06,0.016781678285811594
sio2 all 20 dish white_p07_r0020,8,16,32,40,1.0,1.7142992417298546e-06,0.01631879870164547
sio2 all 20 dish white_p07_r0021,8,16,36,44,0.921875,1.4329771265382061e-06,0.016235077261056493
sio2 all 20 dish white_p07_r0022,8,16,68,76,0.90625,8.290091914484055e-06,0.021065231684073694
sio2 all 20 dish white_p07_r0023,8,16,72,80,1.0,8.65764110077274e-06,0.0218770886877956
sio2 all 20 dish white_p07_r0024,8,16,76,84,0.984375,7.33541737312746e-06,0.021313692769304463
