sample_id,material,dataset,source_scan,height_px,width_px,area_px,n_rois,notes
bare silicon all_p01,silicon,sio2_bare_si,bare silicon all,320,188,23358,11,
bare silicon all_p02,silicon,sio2_bare_si,bare silicon all,83,138,6527,3,
bare silicon all_p03,silicon,sio2_bare_si,bare silicon all,101,61,5428,2,
bare silicon all_p04,silicon,sio2_bare_si,bare silicon all,88,104,4957,2,
bare silicon all_p05,silicon,sio2_bare_si,bare silicon all,65,106,4046,1,
bare silicon all_p06,silicon,sio2_bare_si,bare silicon all,95,69,3767,1,
bare silicon all_p07,silicon,sio2_bare_si,bare silicon all,59,107,3383,0,
bare silicon all_p08,silicon,sio2_bare_si,bare silicon all,53,107,2815,0,
bare silicon all_p09,silicon,sio2_bare_si,bare silicon all,90,49,2365,0,
Dish on Black - 1_p01,sio2,sio2_dish_black,Dish on Black - 1,227,155,12062,5,
Dish on Black - 1_p02,sio2,sio2_dish_black,Dish on Black - 1,89,132,7028,3,
Dish on Black - 1_p03,sio2,sio2_dish_black,Dish on Black - 1,115,97,5615,1,
Dish on Black - 1_p04,sio2,sio2_dish_black,Dish on Black - 1,111,71,4650,2,
Dish on Black - 1_p05,sio2,sio2_dish_black,Dish on Black - 1,171,168,4175,0,
Dish on Black - 1_p06,sio2,sio2_dish_black,Dish on Black - 1,51,283,3348,0,
Dish on Black - 1_p07,sio2,sio2_dish_black,Dish on Black - 1,59,65,2934,0,
Dish on Black - 1_p08,sio2,sio2_dish_black,Dish on Black - 1,59,63,2839,0,
Dish on Black - 1_p09,sio2,sio2_dish_black,Dish on Black - 1,113,300,2192,0,
Dish on Black - 1_p10,sio2,sio2_dish_black,Dish on Black - 1,117,134,1350,0,
Dish on Black - 1_p11,sio2,sio2_dish_black,Dish on Black - 1,46,45,1120,0,
Dish on Black - 1_p12,sio2,sio2_dish_black,Dish on Black - 1,47,67,1116,0,
Dish on Black - 1_p13,sio2,sio2_dish_black,Dish on Black - 1,47,51,1031,0,
Dish on White 1_p01,sio2,sio2_dish_white_1,Dish on White 1,123,195,10540,4,
Dish on White 1_p02,sio2,sio2_dish_white_1,Dish on White 1,123,111,8049,3,
Dish on White 1_p03,sio2,sio2_dish_white_1,Dish on White 1,99,68,6161,6,
Dish on White 1_p04,sio2,sio2_dish_white_1,Dish on White 1,56,59,1311,0,
sio2 all 20 dish white_p01,sio2,sio2_dish_white_20,sio2 all 20 dish white,223,256,22040,10,
sio2 all 20 dish white_p02,sio2,sio2_dish_white_20,sio2 all 20 dish white,180,135,8291,2,
sio2 all 20 dish white_p03,sio2,sio2_dish_white_20,sio2 all 20 dish white,118,118,7117,3,
sio2 all 20 dish white_p04,sio2,sio2_dish_white_20,sio2 all 20 dish white,109,128,6941,2,
sio2 all 20 dish white_p05,sio2,sio2_dish_white_20,sio2 all 20 dish white,119,111,6738,3,
sio2 all 20 dish white_p06,sio2,sio2_dish_white_20,sio2 all 20 dish white,114,95,6406,2,
sio2 all 20 dish white_p07,sio2,sio2_dish_white_20,sio2 all 20 dish white,70,114,5634,3,
sio2 all 20 dish white_p08,sio2,sio2_dish_white_20,sio2 all 20 dish white,90,84,5536,2,
sio2 all 20 dish white_p09,sio2,sio2_dish_white_20,sio2 all 20 dish white,118,77,5078,2,
sio2 all 20 dish white_p10,sio2,sio2_dish_white_20,sio2 all 20 dish white,97,123,4129,0,
sio2 all 20 dish white_p11,sio2,sio2_dish_white_20,sio2 all 20 dish white,110,60,3400,0,
sio2 all 20 dish white_p12,sio2,sio2_dish_white_20,sio2 all 20 dish white,57,79,2159,0,
sio2 all 20 dish white_p13,sio2,sio2_dish_white_20,sio2 all 20 dish white,65,73,2036,0,
sio2 all 20 dish white_p14,sio2,sio2_dish_white_20,sio2 all 20 dish white,39,62,1537,0,
sio2 all 20 dish white_p15,sio2,sio2_dish_white_20,sio2 all 20 dish white,71,66,1101,0,
