roi_id,specimen,material,split,score_iforest
sio2 all 20 dish white_p01_r0001,sio2 all 20 dish white_p01,sio2,train,0.45976920108121827
sio2 all 20 dish white_p01_r0002,sio2 all 20 dish white_p01,sio2,train,0.4710169477858497
sio2 all 20 dish white_p01_r0003,sio2 all 20 dish white_p01,sio2,train,0.48074695530863687
sio2 all 20 dish white_p01_r0004,sio2 all 20 dish white_p01,sio2,train,0.4292426616419272
sio2 all 20 dish white_p01_r0005,sio2 all 20 dish white_p01,sio2,train,0.4252282446745943
sio2 all 20 dish white_p01_r0006,sio2 all 20 dish white_p01,sio2,train,0.43703488852615885
sio2 all 20 dish white_p01_r0007,sio2 all 20 dish white_p01,sio2,train,0.46900144260248355
sio2 all 20 dish white_p01_r0008,sio2 all 20 dish white_p01,sio2,train,0.4375265476657233
sio2 all 20 dish white_p01_r0009,sio2 all 20 dish white_p01,sio2,train,0.41850563681915726
sio2 all 20 dish white_p01_r0010,sio2 all 20 dish white_p01,sio2,train,0.4242314345347541
sio2 all 20 dish white_p01_r0011,sio2 all 20 dish white_p01,sio2,train,0.42779475410462026
sio2 all 20 dish white_p01_r0012,sio2 all 20 dish white_p01,sio2,train,0.41850816665809454
sio2 all 20 dish white_p01_r0013,sio2 all 20 dish white_p01,sio2,train,0.4218869345402225
sio2 all 20 dish white_p01_r0014,sio2 all 20 dish white_p01,sio2,train,0.41715884491585503
sio2 all 20 dish white_p01_r0015,sio2 all 20 dish white_p01,sio2,train,0.4214683051440025
sio2 all 20 dish white_p01_r0016,sio2 all 20 dish white_p01,sio2,train,0.42758667979889525
sio2 all 20 dish white_p01_r0017,sio2 all 20 dish white_p01,sio2,train,0.4276819574175384
sio2 all 20 dish white_p01_r0018,sio2 all 20 dish white_p01,sio2,train,0.4081004476064767
sio2 all 20 dish white_p01_r0019,sio2 all 20 dish white_p01,sio2,train,0.4102003027300498
sio2 all 20 dish white_p01_r0020,sio2 all 20 dish white_p01,sio2,train,0.4104503409189488
sio2 all 20 dish white_p01_r0021,sio2 all 20 dish white_p01,sio2,train,0.41644684333708626
sio2 all 20 dish white_p01_r0022,sio2 all 20 dish white_p01,sio2,train,0.4207035464237154
sio2 all 20 dish white_p01_r0023,sio2 all 20 dish white_p01,sio2,train,0.43118803995357274
