roi_id,specimen,material,split,score_iforest
Clean 8_7_p01_r0001,Clean 8_7_p01,sio2,train,0.3926054539742956
Clean 8_7_p01_r0002,Clean 8_7_p01,sio2,train,0.3988814232543834
Clean 8_7_p01_r0003,Clean 8_7_p01,sio2,train,0.39351846615144653
Clean 8_7_p01_r0004,Clean 8_7_p01,sio2,train,0.3832542550648222
Clean 8_7_p01_r0005,Clean 8_7_p01,sio2,train,0.378263285720563
Clean 8_7_p01_r0006,Clean 8_7_p01,sio2,train,0.3793102002188728
Clean 8_7_p01_r0007,Clean 8_7_p01,sio2,train,0.3870381081218131
Clean 8_7_p01_r0008,Clean 8_7_p01,sio2,train,0.3777758693504609
Clean 8_7_p01_r0009,Clean 8_7_p01,sio2,train,0.3746813195300572
Clean 8_7_p01_r0010,Clean 8_7_p01,sio2,train,0.3866154480282805
Clean 8_7_p01_r0011,Clean 8_7_p01,sio2,train,0.4115869308333646
Clean 8_7_p01_r0012,Clean 8_7_p01,sio2,train,0.40342422471131284
Clean 8_7_p01_r0013,Clean 8_7_p01,sio2,train,0.3954551652203025
Clean 8_7_p01_r0014,Clean 8_7_p01,sio2,train,0.39957435188581014
Clean 8_7_p01_r0015,Clean 8_7_p01,sio2,train,0.39709333416803827
Clean 8_7_p01_r0016,Clean 8_7_p01,sio2,train,0.39132845399415955
Clean 8_7_p01_r0017,Clean 8_7_p01,sio2,train,0.3938802098388569
Clean 8_7_p01_r0018,Clean 8_7_p01,sio2,train,0.39324862414707096
Clean 8_7_p01_r0019,Clean 8_7_p01,sio2,train,0.4000725980516434
Clean 8_7_p01_r0020,Clean 8_7_p01,sio2,train,0.4054763614501682
Clean 8_7_p01_r0021,Clean 8_7_p01,sio2,train,0.4024654524745365
Clean 8_7_p01_r0022,Clean 8_7_p01,sio2,train,0.39758179966778096
Clean 8_7_p01_r0023,Clean 8_7_p01,sio2,train,0.39268490629602365
Clean 8_7_p01_r0024,Clean 8_7_p01,sio2,train,0.38456866889488395
