roi_id,specimen,material,split,score_iforest
sio2 all 20 dish white_p01_r0001,sio2 all 20 dish white_p01,sio2,train,0.43573291599206904
sio2 all 20 dish white_p01_r0002,sio2 all 20 dish white_p01,sio2,train,0.4426645330348827
sio2 all 20 dish white_p01_r0003,sio2 all 20 dish white_p01,sio2,train,0.474809896542427
sio2 all 20 dish white_p01_r0004,sio2 all 20 dish white_p01,sio2,train,0.42020514049907043
sio2 all 20 dish white_p01_r0005,sio2 all 20 dish white_p01,sio2,train,0.4254219747966072
sio2 all 20 dish white_p01_r0006,sio2 all 20 dish white_p01,sio2,train,0.4321954033694316
sio2 all 20 dish white_p01_r0007,sio2 all 20 dish white_p01,sio2,train,0.4589103353248511
sio2 all 20 dish white_p01_r0008,sio2 all 20 dish white_p01,sio2,train,0.42646234049945925
sio2 all 20 dish white_p01_r0009,sio2 all 20 dish white_p01,sio2,train,0.4238198984497907
sio2 all 20 dish white_p01_r0010,sio2 all 20 dish white_p01,sio2,train,0.4333496373705909
sio2 all 20 dish white_p01_r0011,sio2 all 20 dish white_p01,sio2,train,0.4243062252732089
sio2 all 20 dish white_p01_r0012,sio2 all 20 dish white_p01,sio2,train,0.4174570501880046
sio2 all 20 dish white_p01_r0013,sio2 all 20 dish white_p01,sio2,train,0.4175828606371196
sio2 all 20 dish white_p01_r0014,sio2 all 20 dish white_p01,sio2,train,0.4230682824401845
sio2 all 20 dish white_p01_r0015,sio2 all 20 dish white_p01,sio2,train,0.42867409900047615
sio2 all 20 dish white_p01_r0016,sio2 all 20 dish white_p01,sio2,train,0.4367788699211912
sio2 all 20 dish white_p01_r0017,sio2 all 20 dish white_p01,sio2,train,0.4309313855275324
sio2 all 20 dish white_p01_r0018,sio2 all 20 dish white_p01,sio2,train,0.414532327739571
sio2 all 20 dish white_p01_r0019,sio2 all 20 dish white_p01,sio2,train,0.41399453684857307
sio2 all 20 dish white_p01_r0020,sio2 all 20 dish white_p01,sio2,train,0.4188139953388957
sio2 all 20 dish white_p01_r0021,sio2 all 20 dish white_p01,sio2,train,0.4176555260657796
sio2 all 20 dish white_p01_r0022,sio2 all 20 dish white_p01,sio2,train,0.4247627214080884
sio2 all 20 dish white_p01_r0023,sio2 all 20 dish white_p01,sio2,train,0.4394138854956066
