roi_id,r0,r1,c0,c1,coverage,spectral_variance
bare silicon all_p01_r0001,64,96,128,160,1.0,0.005002268534761695
bare silicon all_p01_r0002,96,128,96,128,0.9921875,0.014633587874581275
bare silicon all_p01_r0003,96,128,128,160,1.0,0.003271444659728721
bare silicon all_p01_r0004,128,160,64,96,0.8662109375,0.04539180210787043
bare silicon all_p01_r0005,128,160,96,128,1.0,0.004393750883191109
bare silicon all_p01_r0006,128,160,128,160,0.9990234375,0.007174172187022334
bare silicon all_p01_r0007,160,192,64,96,1.0,0.0055199323614679545
bare silicon all_p01_r0008,160,192,96,128,1.0,0.0034079347933045337
bare silicon all_p01_r0009,192,224,32,64,0.9951171875,0.014539566121254654
bare silicon all_p01_r0010,192,224,64,96,0.9794921875,0.006073851255266
bare silicon all_p01_r0011,256,288,96,128,0.9951171875,0.006742653569588537
