roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
Clean 8_7_p01_r0001,4,12,36,44,0.875,9.599903600529697e-05,0.07893259613659309
Clean 8_7_p01_r0002,4,12,40,48,0.96875,9.61800002005335e-05,0.07745012071464442
Clean 8_7_p01_r0003,4,12,44,52,1.0,8.698471811197648e-05,0.0768724662857525
Clean 8_7_p01_r0004,4,12,48,56,1.0,7.586571098372111e-05,0.07804496507153931
Clean 8_7_p01_r0005,4,12,52,60,1.0,6.950780304959106e-05,0.07947980096398799
Clean 8_7_p01_r0006,4,12,56,64,1.0,6.962468281991889e-05,0.0795873019475519
Clean 8_7_p01_r0007,4,12,60,68,1.0,7.096171586651772e-05,0.07889500600507057
Clean 8_7_p01_r0008,4,12,64,72,1.0,6.979773581603917e-05,0.07799052706935672
Clean 8_7_p01_r0009,4,12,68,76,1.0,6.251370369032487e-05,0.07736279745459025
Clean 8_7_p01_r0010,4,12,72,80,0.96875,5.54513780063023e-05,0.07815110261902664
Clean 8_7_p01_r0011,8,16,20,28,0.921875,0.0001967004250837466,0.0876479074414239
Clean 8_7_p01_r0012,8,16,24,32,0.96875,9.807326476123662e-05,0.08542075093570871
Clean 8_7_p01_r0013,8,16,28,36,1.0,6.121572769996528e-05,0.08208392554921434
Clean 8_7_p01_r0014,8,16,32,40,1.0,3.310983178593165e-05,0.07761885587689742
Clean 8_7_p01_r0015,8,16,36,44,1.0,2.0593734780666163e-05,0.07513649126369355
Clean 8_7_p01_r0016,8,16,40,48,1.0,2.0664759648582984e-05,0.07348229653048116
Clean 8_7_p01_r0017,8,16,44,52,1.0,1.9833386137412997e-05,0.07218398584476489
Clean 8_7_p01_r0018,8,16,48,56,1.0,2.840486892935312e-05,0.07224436643170946
Clean 8_7_p01_r0019,8,16,52,60,1.0,3.46171446017511e-05,0.07229220454172769
Clean 8_7_p01_r0020,8,16,56,64,1.0,3.350880218033828e-05,0.07169939901753739
Clean 8_7_p01_r0021,8,16,60,68,1.0,2.4248966606363566e-05,0.07101668738513166
Clean 8_7_p01_r0022,8,16,64,72,1.0,1.5372397813555184e-05,0.07086989809960435
Clean 8_7_p01_r0023,8,16,68,76,1.0,1.4379544629866499e-05,0.07166480288075879
Clean 8_7_p01_r0024,8,16,72,80,1.0,1.9044098454621584e-05,0.07360175231249037
Clean 8_7_p01_r0025,12,20,4,12,0.90625,2.3571304835634266e-05,0.09085400451795572
Clean 8_7_p01_r0026,12,20,8,16,0.984375,2.26162777284363e-05,0.0889519097033111
Clean 8_7_p01_r0027,12,20,12,20,1.0,2.2541577523620882e-05,0.08820817333375709
Clean 8_7_p01_r0028,12,20,16,24,1.0,1.9620486563091577e-05,0.0869520587182371
Clean 8_7_p01_r0029,12,20,20,28,1.0,1.617792142650969e-05,0.08462603942419804
Clean 8_7_p01_r0030,12,20,24,32,1.0,1.610186585684943e-05,0.08269099765883489
Clean 8_7_p01_r0031,12,20,28,36,1.0,2.4672236279215374e-05,0.07941152071547755
Clean 8_7_p01_r0032,12,20,32,40,1.0,2.0436847013577568e-05,0.0749865203460982
Clean 8_7_p01_r0033,12,20,36,44,1.0,2.3304252020605298e-05,0.07204475514737367
Clean 8_7_p01_r0034,12,20,40,48,1.0,3.0361932888153374e-05,0.06935040677546522
Clean 8_7_p01_r0035,12,20,44,52,1.0,2.6864780042364478e-05,0.06734419033316906
Clean 8_7_p01_r0036,12,20,48,56,1.0,2.1127421637342268e-05,0.06671812410155548
Clean 8_7_p01_r0037,12,20,52,60,1.0,1.5893637186095e-05,0.0667330522926184
Clean 8_7_p01_r0038,12,20,56,64,1.0,1.3073151262121232e-05,0.06717610214002301
Clean 8_7_p01_r0039,12,20,60,68,1.0,1.1634730672439154e-05,0.06794084100345917
Clean 8_7_p01_r0040,12,20,64,72,1.0,1.23239667139751e-05,0.0688889657082366
Clean 8_7_p01_r0041,12,20,68,76,1.0,1.3784717356252954e-05,0.06998041310902225
Clean 8_7_p01_r0042,12,20,72,80,1.0,1.380346741759945e-05,0.07143635298026742
Clean 8_7_p01_r0043,12,20,76,84,0.9375,2.4965706847740264e-05,0.07392805172664618
Clean 8_7_p01_r0044,16,24,4,12,1.0,2.647320485813464e-05,0.09086383945780578
Clean 8_7_p01_r0045,16,24,8,16,1.0,1.4125952536521572e-05,0.08745193370071315
Clean 8_7_p01_r0046,16,24,12,20,1.0,1.7196901062045947e-05,0.08614585339843307
Clean 8_7_p01_r0047,16,24,16,24,1.0,1.9081936062466657e-05,0.08553200698526275
Clean 8_7_p01_r0048,16,24,20,28,1.0,1.71322177849572e-05,0.08387240471708347
Clean 8_7_p01_r0049,16,24,24,32,1.0,2.519389098126982e-05,0.08063486883750073
Clean 8_7_p01_r0050,16,24,28,36,1.0,4.273587023024263e-05,0.07570866197306683
Clean 8_7_p01_r0051,16,24,32,40,1.0,3.828107016595273e-05,0.07050148424015013
Clean 8_7_p01_r0052,16,24,36,44,1.0,2.844893723519973e-05,0.06696622560571479
