roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p10_r0001,16,24,96,104,0.96875,1.80801777876981e-06,0.018866160416115284
sio2 all 20 dish white_p10_r0002,20,28,92,100,0.875,1.4299328452570754e-06,0.018093084969768785
sio2 all 20 dish white_p10_r0003,20,28,96,104,1.0,1.4517426009341793e-06,0.018781937609177637
sio2 all 20 dish white_p10_r0004,20,28,100,108,0.984375,1.6005547201407388e-06,0.019506418116940795
sio2 all 20 dish white_p10_r0005,24,32,92,100,0.96875,1.668910412914938e-06,0.018028419776032
sio2 all 20 dish white_p10_r0006,24,32,96,104,0.90625,1.6290135694763698e-06,0.01878421188192001
sio2 all 20 dish white_p10_r0007,28,36,4,12,0.921875,1.5142592427791924e-06,0.018411888104754963
sio2 all 20 dish white_p10_r0008,28,36,8,16,0.953125,1.8357986682221855e-06,0.017825881815438507
sio2 all 20 dish white_p10_r0009,28,36,12,20,0.859375,2.0680240551909242e-06,0.01691774896609576
sio2 all 20 dish white_p10_r0010,28,36,92,100,0.90625,1.8715571973833886e-06,0.018144657118117406
sio2 all 20 dish white_p10_r0011,32,40,4,12,1.0,1.8198612091596385e-06,0.018367965083072348
sio2 all 20 dish white_p10_r0012,32,40,8,16,1.0,1.7015545386492846e-06,0.01783266068124411
sio2 all 20 dish white_p10_r0013,32,40,12,20,1.0,1.5278090484504286e-06,0.017327504579728235
sio2 all 20 dish white_p10_r0014,32,40,16,24,0.953125,1.792890660007584e-06,0.017152207921685734
sio2 all 20 dish white_p10_r0015,32,40,88,96,0.96875,1.8042815946006073e-06,0.0176246090897655
sio2 all 20 dish white_p10_r0016,32,40,92,100,0.859375,2.0033718469610087e-06,0.018348070937871736
sio2 all 20 dish white_p10_r0017,36,44,4,12,1.0,2.4749693643866285e-06,0.018357691019357844
sio2 all 20 dish white_p10_r0018,36,44,8,16,1.0,1.512387701471575e-06,0.01749436232640245
sio2 all 20 dish white_p10_r0019,36,44,12,20,1.0,1.3611141855278416e-06,0.01719942566873558
sio2 all 20 dish white_p10_r0020,36,44,16,24,1.0,1.7485812411264649e-06,0.017130163130098325
sio2 all 20 dish white_p10_r0021,36,44,20,28,0.953125,2.2200257076824876e-06,0.017329235873269934
sio2 all 20 dish white_p10_r0022,36,44,88,96,1.0,1.7546990437578325e-06,0.017737852800845784
sio2 all 20 dish white_p10_r0023,36,44,92,100,0.953125,2.0272505508638627e-06,0.018547408401227896
sio2 all 20 dish white_p10_r0024,40,48,4,12,1.0,2.4315072763270657e-06,0.018633025259081157
sio2 all 20 dish white_p10_r0025,40,48,8,16,1.0,1.4503372603926988e-06,0.017606098602869037
sio2 all 20 dish white_p10_r0026,40,48,12,20,1.0,1.498134384295574e-06,0.017248663446630345
sio2 all 20 dish white_p10_r0027,40,48,16,24,1.0,1.6834823408527434e-06,0.017002856352151815
sio2 all 20 dish white_p10_r0028,40,48,20,28,1.0,1.7349227295483379e-06,0.016983373994636494
sio2 all 20 dish white_p10_r0029,40,48,24,32,1.0,1.7063715194365057e-06,0.016716832734612906
sio2 all 20 dish white_p10_r0030,40,48,28,36,1.0,1.4381226058701417e-06,0.016363040104179504
sio2 all 20 dish white_p10_r0031,40,48,32,40,0.875,1.6672439639962395e-06,0.016358898843210325
sio2 all 20 dish white_p10_r0032,40,48,84,92,0.953125,1.643112779261179e-06,0.017308651680740732
sio2 all 20 dish white_p10_r0033,40,48,88,96,1.0,1.9665862115899144e-06,0.01796754540390675
sio2 all 20 dish white_p10_r0034,40,48,92,100,1.0,2.218166613288021e-06,0.01888067321644221
sio2 all 20 dish white_p10_r0035,40,48,96,104,0.890625,2.3765659970390533e-06,0.019828687827377057
sio2 all 20 dish white_p10_r0036,44,52,4,12,0.859375,2.8876993613434825e-06,0.01941585531548304
sio2 all 20 dish white_p10_r0037,44,52,8,16,1.0,2.13905882450408e-06,0.018347100744606257
sio2 all 20 dish white_p10_r0038,44,52,12,20,1.0,1.7067430113426087e-06,0.017663644849886237
sio2 all 20 dish white_p10_r0039,44,52,16,24,1.0,1.4011244895001702e-06,0.01731238218528463
sio2 all 20 dish white_p10_r0040,44,52,20,28,1.0,1.5144250198517197e-06,0.017023160426556234
sio2 all 20 dish white_p10_r0041,44,52,24,32,1.0,1.5269385567456207e-06,0.01661046417876138
sio2 all 20 dish white_p10_r0042,44,52,28,36,1.0,1.3429817958440582e-06,0.01639374171511353
sio2 all 20 dish white_p10_r0043,44,52,32,40,1.0,1.4795236489141792e-06,0.01660951009942101
sio2 all 20 dish white_p10_r0044,44,52,36,44,0.96875,1.6917744560986458e-06,0.016581146072863893
sio2 all 20 dish white_p10_r0045,44,52,80,88,0.921875,1.4885030391768117e-06,0.01693818451336867
sio2 all 20 dish white_p10_r0046,44,52,84,92,1.0,1.7619970617037576e-06,0.017597923340226914
sio2 all 20 dish white_p10_r0047,44,52,88,96,1.0,2.0928983224656216e-06,0.01840939300564284
sio2 all 20 dish white_p10_r0048,44,52,92,100,0.96875,2.234697880374056e-06,0.019372432130525828
sio2 all 20 dish white_p10_r0049,48,56,8,16,0.96875,2.860329449170398e-06,0.019611853153284214
sio2 all 20 dish white_p10_r0050,48,56,12,20,1.0,2.506889398171074e-06,0.018566961178683287
sio2 all 20 dish white_p10_r0051,48,56,16,24,1.0,1.7682108838825313e-06,0.017772922149901386
sio2 all 20 dish white_p10_r0052,48,56,20,28,1.0,1.7657279988046711e-06,0.017277968089907187
sio2 all 20 dish white_p10_r0053,48,56,24,32,1.0,1.8535827662533491e-06,0.016887873027165382
